"records","n.max","n.start","events","rmean","se(rmean)","median","0.95LCL","0.95UCL","Method","Cancer","Gender","Age","Stratification","GenderAge","Database","CalenderYearGp"
31738,31738,31738,3508,4.39349675352699,0.00945109019321597,NA,NA,NA,"Kaplan-Meier","IncidentBreastCancer","Both","All","None",NA,"CPRDAurum","2000-2004"
19395,19395,19395,5981,3.35802318600529,0.0168239971106479,NA,NA,NA,"Kaplan-Meier","IncidentColorectalCancer","Both","All","None",NA,"CPRDAurum","2000-2004"
5205,5205,5205,3400,1.52358901551181,0.0287017387561168,0.752908966461328,0.717316906228611,0.796714579055442,"Kaplan-Meier","IncidentEsophagealCancer","Both","All","None",NA,"CPRDAurum","2000-2004"
3812,3812,3812,1040,3.52964942925812,0.0372292536624643,NA,NA,NA,"Kaplan-Meier","IncidentHeadNeckCancer","Both","All","None",NA,"CPRDAurum","2000-2004"
721,721,721,476,1.41161966640881,0.081300811456615,0.542094455852156,0.364134154688569,0.654346338124572,"Kaplan-Meier","IncidentLiverCancer","Both","All","None",NA,"CPRDAurum","2000-2004"
12684,12684,12684,8690,1.26819000841152,0.0174319433790723,0.577686516084873,0.553045859000684,0.594113620807666,"Kaplan-Meier","IncidentLungCancer","Both","All","None",NA,"CPRDAurum","2000-2004"
3133,3133,3133,2366,1.00860282684049,0.0318459181072595,0.353182751540041,0.334017796030116,0.37782340862423,"Kaplan-Meier","IncidentPancreaticCancer","Both","All","None",NA,"CPRDAurum","2000-2004"
25099,25099,25099,4129,4.09052633484538,0.0124447664664362,NA,NA,NA,"Kaplan-Meier","IncidentProstateCancer","Both","All","None",NA,"CPRDAurum","2000-2004"
3194,3194,3194,2055,1.60800638053757,0.0382244846190229,0.695414099931554,0.643394934976044,0.777549623545517,"Kaplan-Meier","IncidentStomachCancer","Both","All","None",NA,"CPRDAurum","2000-2004"
197,197,197,16,4.54459124265685,0.106952518813498,NA,NA,NA,"Kaplan-Meier","IncidentBreastCancer","Male","All","Gender",NA,"CPRDAurum","2000-2004"
31541,31541,31541,3492,4.39259639483836,0.00948566806016884,NA,NA,NA,"Kaplan-Meier","IncidentBreastCancer","Female","All","Gender",NA,"CPRDAurum","2000-2004"
10618,10618,10618,3336,3.32833500531779,0.0226904941856022,4.91444216290212,4.62149212867899,NA,"Kaplan-Meier","IncidentColorectalCancer","Male","All","Gender",NA,"CPRDAurum","2000-2004"
8777,8777,8777,2645,3.39464275187235,0.0250395630752292,NA,NA,NA,"Kaplan-Meier","IncidentColorectalCancer","Female","All","Gender",NA,"CPRDAurum","2000-2004"
3417,3417,3417,2208,1.53398703931558,0.0353363872819128,0.793976728268309,0.747433264887064,0.845995893223819,"Kaplan-Meier","IncidentEsophagealCancer","Male","All","Gender",NA,"CPRDAurum","2000-2004"
1788,1788,1788,1192,1.49963332446507,0.0490245474679206,0.678986995208761,0.618754277891855,0.744695414099932,"Kaplan-Meier","IncidentEsophagealCancer","Female","All","Gender",NA,"CPRDAurum","2000-2004"
2608,2608,2608,717,3.51075305983787,0.0451190299379756,NA,NA,NA,"Kaplan-Meier","IncidentHeadNeckCancer","Male","All","Gender",NA,"CPRDAurum","2000-2004"
1204,1204,1204,323,3.56884395204991,0.065863639063384,NA,NA,NA,"Kaplan-Meier","IncidentHeadNeckCancer","Female","All","Gender",NA,"CPRDAurum","2000-2004"
464,464,464,307,1.40168135574581,0.0994130621376358,0.618754277891855,0.402464065708419,0.813141683778234,"Kaplan-Meier","IncidentLiverCancer","Male","All","Gender",NA,"CPRDAurum","2000-2004"
257,257,257,169,1.42664483578428,0.140650483198704,0.361396303901437,0.281998631074606,0.610540725530459,"Kaplan-Meier","IncidentLiverCancer","Female","All","Gender",NA,"CPRDAurum","2000-2004"
7578,7578,7578,5365,1.17935925855245,0.0213596669260481,0.528405201916496,0.501026694045175,0.558521560574949,"Kaplan-Meier","IncidentLungCancer","Male","All","Gender",NA,"CPRDAurum","2000-2004"
5106,5106,5106,3325,1.40470122068724,0.0294566188435729,0.640657084188912,0.605065023956194,0.676249144421629,"Kaplan-Meier","IncidentLungCancer","Female","All","Gender",NA,"CPRDAurum","2000-2004"
1535,1535,1535,1172,1.02530708909312,0.0455140082237448,0.350444900752909,0.323066392881588,0.388774811772758,"Kaplan-Meier","IncidentPancreaticCancer","Male","All","Gender",NA,"CPRDAurum","2000-2004"
1598,1598,1598,1194,0.991414590891623,0.0445358812494293,0.355920602327173,0.32580424366872,0.386036960985626,"Kaplan-Meier","IncidentPancreaticCancer","Female","All","Gender",NA,"CPRDAurum","2000-2004"
1973,1973,1973,1299,1.55809566381557,0.0473386862956878,0.695414099931554,0.632443531827515,0.777549623545517,"Kaplan-Meier","IncidentStomachCancer","Male","All","Gender",NA,"CPRDAurum","2000-2004"
1221,1221,1221,756,1.69108704972664,0.0644264686511921,0.714579055441478,0.616016427104723,0.876112251882272,"Kaplan-Meier","IncidentStomachCancer","Female","All","Gender",NA,"CPRDAurum","2000-2004"
71,71,71,6,4.50939358256014,0.186688438087931,NA,NA,NA,"Kaplan-Meier","IncidentBreastCancer","Both",NA,"Age",NA,"CPRDAurum","2000-2004"
1396,1396,1396,109,4.55171772630644,0.0402433943422809,NA,NA,NA,"Kaplan-Meier","IncidentBreastCancer","Both",NA,"Age",NA,"CPRDAurum","2000-2004"
4213,4213,4213,221,4.70228970566258,0.0192057366739419,NA,NA,NA,"Kaplan-Meier","IncidentBreastCancer","Both",NA,"Age",NA,"CPRDAurum","2000-2004"
8453,8453,8453,503,4.67963654603336,0.0136840309666589,NA,NA,NA,"Kaplan-Meier","IncidentBreastCancer","Both",NA,"Age",NA,"CPRDAurum","2000-2004"
7054,7054,7054,520,4.5850865249066,0.0172600297392771,NA,NA,NA,"Kaplan-Meier","IncidentBreastCancer","Both",NA,"Age",NA,"CPRDAurum","2000-2004"
5789,5789,5789,813,4.25073508214678,0.0236431759956036,NA,NA,NA,"Kaplan-Meier","IncidentBreastCancer","Both",NA,"Age",NA,"CPRDAurum","2000-2004"
3824,3824,3824,964,3.58776783415872,0.0369131536720482,4.90075290896646,4.73100616016427,NA,"Kaplan-Meier","IncidentBreastCancer","Both",NA,"Age",NA,"CPRDAurum","2000-2004"
938,938,938,372,2.67586186514836,0.0809946040363405,2.63107460643395,2.35728952772074,3.01163586584531,"Kaplan-Meier","IncidentBreastCancer","Both",NA,"Age",NA,"CPRDAurum","2000-2004"
42,42,42,7,4.07153745140931,0.312239802383044,NA,NA,NA,"Kaplan-Meier","IncidentColorectalCancer","Both",NA,"Age",NA,"CPRDAurum","2000-2004"
199,199,199,37,3.93065212176939,0.154505333663208,NA,NA,NA,"Kaplan-Meier","IncidentColorectalCancer","Both",NA,"Age",NA,"CPRDAurum","2000-2004"
699,699,699,142,3.90000863255049,0.0793789127406362,NA,NA,NA,"Kaplan-Meier","IncidentColorectalCancer","Both",NA,"Age",NA,"CPRDAurum","2000-2004"
2463,2463,2463,535,3.82864332981883,0.0430280092513454,NA,NA,NA,"Kaplan-Meier","IncidentColorectalCancer","Both",NA,"Age",NA,"CPRDAurum","2000-2004"
4716,4716,4716,1240,3.6136972384954,0.0324167852909385,NA,NA,NA,"Kaplan-Meier","IncidentColorectalCancer","Both",NA,"Age",NA,"CPRDAurum","2000-2004"
6627,6627,6627,2050,3.37564090502888,0.0284512153454445,NA,4.93908281998631,NA,"Kaplan-Meier","IncidentColorectalCancer","Both",NA,"Age",NA,"CPRDAurum","2000-2004"
4019,4019,4019,1615,2.81224834014534,0.0391489962427604,2.8993839835729,2.47227926078029,3.06913073237509,"Kaplan-Meier","IncidentColorectalCancer","Both",NA,"Age",NA,"CPRDAurum","2000-2004"
630,630,630,355,1.83206941610221,0.0942576498924417,1.02121834360027,0.783025325119781,1.26488706365503,"Kaplan-Meier","IncidentColorectalCancer","Both",NA,"Age",NA,"CPRDAurum","2000-2004"
5,5,5,3,2.18097193702943,1.03393704512679,0.706365503080082,0.142368240930869,NA,"Kaplan-Meier","IncidentEsophagealCancer","Both",NA,"Age",NA,"CPRDAurum","2000-2004"
29,29,29,13,2.52758415942122,0.413898689445395,1.99863107460643,1.65366187542779,NA,"Kaplan-Meier","IncidentEsophagealCancer","Both",NA,"Age",NA,"CPRDAurum","2000-2004"
171,171,171,90,2.12236028766339,0.186371296189729,1.34428473648186,0.843258042436687,2.29979466119096,"Kaplan-Meier","IncidentEsophagealCancer","Both",NA,"Age",NA,"CPRDAurum","2000-2004"
748,748,748,418,2.00723413757547,0.0837191999125731,1.13073237508556,0.993839835728953,1.2703627652293,"Kaplan-Meier","IncidentEsophagealCancer","Both",NA,"Age",NA,"CPRDAurum","2000-2004"
1232,1232,1232,732,1.87086520682555,0.0631998774487482,1.01026694045175,0.900752908966461,1.1088295687885,"Kaplan-Meier","IncidentEsophagealCancer","Both",NA,"Age",NA,"CPRDAurum","2000-2004"
1711,1711,1711,1164,1.39198610420042,0.0471059790367413,0.695414099931554,0.657084188911704,0.769336071184121,"Kaplan-Meier","IncidentEsophagealCancer","Both",NA,"Age",NA,"CPRDAurum","2000-2004"
1121,1121,1121,835,0.996215082443908,0.0484992274459482,0.462696783025325,0.427104722792608,0.509240246406571,"Kaplan-Meier","IncidentEsophagealCancer","Both",NA,"Age",NA,"CPRDAurum","2000-2004"
188,188,188,145,0.731443305400571,0.104451183418804,0.317590691307324,0.26009582477755,0.4435318275154,"Kaplan-Meier","IncidentEsophagealCancer","Both",NA,"Age",NA,"CPRDAurum","2000-2004"
27,27,27,3,4.40628046377533,0.318019660191372,NA,NA,NA,"Kaplan-Meier","IncidentHeadNeckCancer","Both",NA,"Age",NA,"CPRDAurum","2000-2004"
