"time","n.risk","n.event","n.censor","surv","std.err","cumhaz","std.chaz","type","logse","conf.int","conf.type","lower","upper","Method","Cancer","Gender","Age","Stratification","GenderAge","Database","CalenderYearGp"
1,136928,7296,13602,0.951875138920235,0.000550124853657742,0.0493163283642023,0.000577879940435411,"right",TRUE,0.95,"log",0.950797524462575,0.952953974724069,"Kaplan-Meier","IncidentBreastCancer","Both","All","None",NA,"CPRDAurum","2000-2019"
5,77679,17577,41672,0.806011399252029,0.00112558870813414,0.215642005998271,0.00139639695935911,"right",TRUE,0.95,"log",0.803808302318401,0.808220534486189,"Kaplan-Meier","IncidentBreastCancer","Both","All","None",NA,"CPRDAurum","2000-2019"
10,35539,8903,33237,0.685487883671908,0.00154041203416414,0.377600325037313,0.00224704207144491,"right",TRUE,0.95,"log",0.682475370566262,0.688513694305352,"Kaplan-Meier","IncidentBreastCancer","Both","All","None",NA,"CPRDAurum","2000-2019"
1,69580,20597,9144,0.782967852516273,0.00134190222937982,0.244550921112306,0.00171312007166773,"right",TRUE,0.95,"log",0.780342184906217,0.785602354879251,"Kaplan-Meier","IncidentColorectalCancer","Both","All","None",NA,"CPRDAurum","2000-2019"
5,30651,20755,18174,0.513097902310872,0.00177894088363395,0.667104983193031,0.00346627517676772,"right",TRUE,0.95,"log",0.509623061930924,0.516596435723117,"Kaplan-Meier","IncidentColorectalCancer","Both","All","None",NA,"CPRDAurum","2000-2019"
10,12264,5875,12512,0.385950297414953,0.00199876966771887,0.951833444824973,0.00517799966689387,"right",TRUE,0.95,"log",0.382052595764507,0.389887763428537,"Kaplan-Meier","IncidentColorectalCancer","Both","All","None",NA,"CPRDAurum","2000-2019"
1,10909,14611,2376,0.446115462819408,0.00308902780385672,0.806224945653016,0.00691632861844191,"right",TRUE,0.95,"log",0.440101977392237,0.452211115582425,"Kaplan-Meier","IncidentEsophagealCancer","Both","All","None",NA,"CPRDAurum","2000-2019"
5,2230,6573,2106,0.143956871276798,0.00242758677782613,1.93659894834771,0.0168525781633534,"right",TRUE,0.95,"log",0.139276658566897,0.148794356506268,"Kaplan-Meier","IncidentEsophagealCancer","Both","All","None",NA,"CPRDAurum","2000-2019"
10,782,594,854,0.0948402324938839,0.00233544314728295,2.35370478652244,0.0246105132690717,"right",TRUE,0.95,"log",0.0903715539741624,0.0995298775327639,"Kaplan-Meier","IncidentEsophagealCancer","Both","All","None",NA,"CPRDAurum","2000-2019"
1,15515,3872,1969,0.80925671494108,0.00276430831714449,0.211563891385426,0.00341467277560986,"right",TRUE,0.95,"log",0.803856866263697,0.814692836700106,"Kaplan-Meier","IncidentHeadNeckCancer","Both","All","None",NA,"CPRDAurum","2000-2019"
5,7090,3984,4441,0.565679988764568,0.00381766192989107,0.569587279791657,0.00674732892157434,"right",TRUE,0.95,"log",0.55824677830833,0.573212174476613,"Kaplan-Meier","IncidentHeadNeckCancer","Both","All","None",NA,"CPRDAurum","2000-2019"
10,2787,1358,2945,0.424949692171107,0.00446265210958905,0.855588102406876,0.0104993643420139,"right",TRUE,0.95,"log",0.416292455308282,0.433786965326072,"Kaplan-Meier","IncidentHeadNeckCancer","Both","All","None",NA,"CPRDAurum","2000-2019"
1,2702,3814,765,0.443983597413526,0.00607939562699563,0.810571474265405,0.0136727139104498,"right",TRUE,0.95,"log",0.432226669686366,0.456060323430046,"Kaplan-Meier","IncidentLiverCancer","Both","All","None",NA,"CPRDAurum","2000-2019"
5,486,1417,799,0.158915742122354,0.00534776150726307,1.83711026270848,0.0336182048677333,"right",TRUE,0.95,"log",0.148772501896337,0.169750543765779,"Kaplan-Meier","IncidentLiverCancer","Both","All","None",NA,"CPRDAurum","2000-2019"
10,113,145,228,0.09202911065076,0.00551566629784117,2.38207485767892,0.0598003331212273,"right",TRUE,0.95,"log",0.0818294008309073,0.103500173790481,"Kaplan-Meier","IncidentLiverCancer","Both","All","None",NA,"CPRDAurum","2000-2019"
1,30266,49943,8331,0.401394746549729,0.00171953319921764,0.911417691130699,0.00427814775205041,"right",TRUE,0.95,"log",0.398038632563783,0.404779158042914,"Kaplan-Meier","IncidentLungCancer","Both","All","None",NA,"CPRDAurum","2000-2019"
5,5133,17246,7887,0.129974098358693,0.00138121167594136,2.03845600750809,0.0106206959958579,"right",TRUE,0.95,"log",0.127294970760139,0.132709612510827,"Kaplan-Meier","IncidentLungCancer","Both","All","None",NA,"CPRDAurum","2000-2019"
10,1186,1662,2285,0.0711195800571281,0.00137421904967091,2.64118858777293,0.0193134018340138,"right",TRUE,0.95,"log",0.0684765246186729,0.0738646520930909,"Kaplan-Meier","IncidentLungCancer","Both","All","None",NA,"CPRDAurum","2000-2019"
1,4356,14159,1612,0.255091811466447,0.0032222951205118,1.36303953867363,0.0126075160182014,"right",TRUE,0.95,"log",0.248853768687588,0.261486223899324,"Kaplan-Meier","IncidentPancreaticCancer","Both","All","None",NA,"CPRDAurum","2000-2019"
5,655,2881,820,0.0639991310243939,0.00205989261726962,2.74447968572978,0.0321527690467726,"right",TRUE,0.95,"log",0.060086524400214,0.0681665117555534,"Kaplan-Meier","IncidentPancreaticCancer","Both","All","None",NA,"CPRDAurum","2000-2019"
10,215,197,243,0.0391618077757851,0.00192028965217382,3.2348931339789,0.0489664531006872,"right",TRUE,0.95,"log",0.0355733096064733,0.0431122997897406,"Kaplan-Meier","IncidentPancreaticCancer","Both","All","None",NA,"CPRDAurum","2000-2019"
1,113039,8057,12104,0.936688921409655,0.000683328091514025,0.065395922345133,0.000729425606264508,"right",TRUE,0.95,"log",0.935350579983693,0.938029177794361,"Kaplan-Meier","IncidentProstateCancer","Both","All","None",NA,"CPRDAurum","2000-2019"
5,56759,21084,35196,0.725666650391758,0.00140451299383874,0.320632353583537,0.00193529099490844,"right",TRUE,0.95,"log",0.722919070234774,0.72842467320689,"Kaplan-Meier","IncidentProstateCancer","Both","All","None",NA,"CPRDAurum","2000-2019"
10,21329,11211,24219,0.535606521105725,0.00190523626310893,0.624293373846332,0.0035568025058341,"right",TRUE,0.95,"log",0.531885313661997,0.539353763080738,"Kaplan-Meier","IncidentProstateCancer","Both","All","None",NA,"CPRDAurum","2000-2019"
1,5489,7335,1050,0.445557492512516,0.00435950323336515,0.807311859276046,0.00977210455284354,"right",TRUE,0.95,"log",0.437094430740656,0.454184416849344,"Kaplan-Meier","IncidentStomachCancer","Both","All","None",NA,"CPRDAurum","2000-2019"
5,1518,2983,988,0.178286832098863,0.00363714839782709,1.72269178261712,0.0203858455498146,"right",TRUE,0.95,"log",0.171298789327845,0.185559948348575,"Kaplan-Meier","IncidentStomachCancer","Both","All","None",NA,"CPRDAurum","2000-2019"
10,592,372,554,0.123394186286959,0.00350591167480546,2.09046357039419,0.0283922969167205,"right",TRUE,0.95,"log",0.116710548863612,0.130460574109835,"Kaplan-Meier","IncidentStomachCancer","Both","All","None",NA,"CPRDAurum","2000-2019"
