"Cancer","0","2","4","6","8","10","12","14","16","18","Method","Age","Gender","Stratification","GenderAge","Database","CalenderYearGp"
"IncidentBreastCancer","157826","119007","89776","67116","49534","35539","24264","15293","8188","3270","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2019"
"IncidentColorectalCancer","99321","54372","36519","26009","18307","12264","7809","4600","2406","953","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2019"
"IncidentEsophagealCancer","27896","5759","2864","1799","1197","782","516","290","131","52","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2019"
"IncidentHeadNeckCancer","21356","12293","8438","5948","4191","2787","1739","1012","520","221","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2019"
"IncidentLiverCancer","7281","1540","679","361","206","113","70","31","16","11","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2019"
"IncidentLungCancer","88540","16113","7089","3831","2143","1186","646","338","135","42","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2019"
"IncidentPancreaticCancer","20127","1972","867","524","313","215","134","66","35","18","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2019"
"IncidentProstateCancer","133200","94538","67623","47628","32655","21329","13331","7575","3571","1190","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2019"
"IncidentStomachCancer","13874","3316","1849","1261","887","592","356","197","102","46","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2019"
"IncidentBreastCancer","1019","750","528","363","263","175","111","73","39","18","Kaplan-Meier","All","Male","Gender",NA,"CPRDAurum","2000-2019"
"IncidentBreastCancer","156807","118257","89248","66753","49271","35364","24153","15220","8149","3252","Kaplan-Meier","All","Female","Gender",NA,"CPRDAurum","2000-2019"
"IncidentColorectalCancer","55510","30609","20302","14233","9918","6611","4155","2445","1260","499","Kaplan-Meier","All","Male","Gender",NA,"CPRDAurum","2000-2019"
"IncidentColorectalCancer","43811","23763","16217","11776","8389","5653","3654","2155","1146","454","Kaplan-Meier","All","Female","Gender",NA,"CPRDAurum","2000-2019"
"IncidentEsophagealCancer","19208","4049","1932","1201","783","503","325","180","75","33","Kaplan-Meier","All","Male","Gender",NA,"CPRDAurum","2000-2019"
"IncidentEsophagealCancer","8688","1710","932","598","414","279","191","110","56","19","Kaplan-Meier","All","Female","Gender",NA,"CPRDAurum","2000-2019"
"IncidentHeadNeckCancer","14932","8547","5806","4092","2869","1895","1152","658","329","139","Kaplan-Meier","All","Male","Gender",NA,"CPRDAurum","2000-2019"
"IncidentHeadNeckCancer","6424","3746","2632","1856","1322","892","587","354","191","82","Kaplan-Meier","All","Female","Gender",NA,"CPRDAurum","2000-2019"
"IncidentLiverCancer","5274","1122","490","250","134","73","40","19","10","7","Kaplan-Meier","All","Male","Gender",NA,"CPRDAurum","2000-2019"
"IncidentLiverCancer","2007","418","189","111","72","40","30","12","6","<5","Kaplan-Meier","All","Female","Gender",NA,"CPRDAurum","2000-2019"
"IncidentLungCancer","48819","7963","3395","1864","1024","574","321","168","63","19","Kaplan-Meier","All","Male","Gender",NA,"CPRDAurum","2000-2019"
"IncidentLungCancer","39721","8150","3694","1967","1119","612","325","170","72","23","Kaplan-Meier","All","Female","Gender",NA,"CPRDAurum","2000-2019"
"IncidentPancreaticCancer","10123","1018","447","280","166","120","75","35","18","8","Kaplan-Meier","All","Male","Gender",NA,"CPRDAurum","2000-2019"
"IncidentPancreaticCancer","10004","954","420","244","147","95","59","31","17","10","Kaplan-Meier","All","Female","Gender",NA,"CPRDAurum","2000-2019"
"IncidentStomachCancer","8827","2120","1150","777","523","357","216","113","57","26","Kaplan-Meier","All","Male","Gender",NA,"CPRDAurum","2000-2019"
"IncidentStomachCancer","5047","1196","699","484","364","235","140","84","45","20","Kaplan-Meier","All","Female","Gender",NA,"CPRDAurum","2000-2019"
"IncidentBreastCancer","492","320","209","133","85","58","39","21","13","8","Kaplan-Meier","<30","Both","Age",NA,"CPRDAurum","2000-2019"
"IncidentBreastCancer","5907","4461","3282","2514","1974","1504","1097","749","440","189","Kaplan-Meier","30-39","Both","Age",NA,"CPRDAurum","2000-2019"
"IncidentBreastCancer","22134","17860","14100","11006","8279","6062","4250","2785","1552","658","Kaplan-Meier","40-49","Both","Age",NA,"CPRDAurum","2000-2019"
"IncidentBreastCancer","38276","30861","24355","19116","14887","11348","8198","5591","3260","1360","Kaplan-Meier","50-59","Both","Age",NA,"CPRDAurum","2000-2019"
"IncidentBreastCancer","38953","31295","24673","19028","14319","10312","6999","4247","2115","819","Kaplan-Meier","60-69","Both","Age",NA,"CPRDAurum","2000-2019"
"IncidentBreastCancer","28350","20808","15281","10873","7603","5075","3143","1696","750","227","Kaplan-Meier","70-79","Both","Age",NA,"CPRDAurum","2000-2019"
"IncidentBreastCancer","18877","11505","7113","4156","2287","1148","529","202","58","9","Kaplan-Meier","80-89","Both","Age",NA,"CPRDAurum","2000-2019"
"IncidentBreastCancer","4837","1897","763","290","100","32","9","<5","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDAurum","2000-2019"
"IncidentColorectalCancer","231","129","79","63","47","34","18","11","6","<5","Kaplan-Meier","<30","Both","Age",NA,"CPRDAurum","2000-2019"
"IncidentColorectalCancer","1182","639","425","286","200","159","118","90","52","11","Kaplan-Meier","30-39","Both","Age",NA,"CPRDAurum","2000-2019"
"IncidentColorectalCancer","3727","2241","1596","1221","933","699","510","341","211","97","Kaplan-Meier","40-49","Both","Age",NA,"CPRDAurum","2000-2019"
"IncidentColorectalCancer","11432","7234","5066","3834","2917","2187","1601","1068","623","289","Kaplan-Meier","50-59","Both","Age",NA,"CPRDAurum","2000-2019"
"IncidentColorectalCancer","24134","15359","11036","8305","6118","4324","2799","1704","921","375","Kaplan-Meier","60-69","Both","Age",NA,"CPRDAurum","2000-2019"
"IncidentColorectalCancer","31736","18102","12315","8787","6121","3907","2316","1226","543","164","Kaplan-Meier","70-79","Both","Age",NA,"CPRDAurum","2000-2019"
"IncidentColorectalCancer","22928","9800","5678","3387","1924","939","438","157","50","13","Kaplan-Meier","80-89","Both","Age",NA,"CPRDAurum","2000-2019"
"IncidentColorectalCancer","3951","868","324","126","47","15","9","<5","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDAurum","2000-2019"
"IncidentEsophagealCancer","18","<5","<5","<5","<5","<5","<5","<5","<5","<5","Kaplan-Meier","<30","Both","Age",NA,"CPRDAurum","2000-2019"
"IncidentEsophagealCancer","138","38","19","16","14","10","8","<5","<5","<5","Kaplan-Meier","30-39","Both","Age",NA,"CPRDAurum","2000-2019"
"IncidentEsophagealCancer","865","268","146","101","73","63","43","28","12","<5","Kaplan-Meier","40-49","Both","Age",NA,"CPRDAurum","2000-2019"
"IncidentEsophagealCancer","3538","994","560","390","281","204","149","103","53","27","Kaplan-Meier","50-59","Both","Age",NA,"CPRDAurum","2000-2019"
"IncidentEsophagealCancer","7206","1933","1043","671","450","305","194","102","47","17","Kaplan-Meier","60-69","Both","Age",NA,"CPRDAurum","2000-2019"
"IncidentEsophagealCancer","8863","1818","860","505","324","177","106","47","15","<5","Kaplan-Meier","70-79","Both","Age",NA,"CPRDAurum","2000-2019"
"IncidentEsophagealCancer","6089","652","217","107","51","19","12","<5","0","0","Kaplan-Meier","80-89","Both","Age",NA,"CPRDAurum","2000-2019"
"IncidentEsophagealCancer","1179","52","16","6","<5","<5","<5","0","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDAurum","2000-2019"
