"records","n.max","n.start","events","rmean","se(rmean)","median","0.95LCL","0.95UCL","Method","Cancer","Gender","Age","Stratification","GenderAge","Database","CalenderYearGp"
1081,1081,1081,689,6.017071173661,0.266693647284795,2.46954140999316,2.0643394934976,2.91854893908282,"Kaplan-Meier","HeadNeckSubtypeCancerHypopharynx","Both","All","None",NA,"CPRDAurum","2000-2019"
5453,5453,5453,2766,8.67934330572346,0.126534264403245,6.63928815879535,6.21218343600274,7.16769336071184,"Kaplan-Meier","HeadNeckSubtypeCancerLarynx","Both","All","None",NA,"CPRDAurum","2000-2019"
488,488,488,274,7.32482368048711,0.417129917043971,4.27926078028747,2.82819986310746,5.20191649555099,"Kaplan-Meier","HeadNeckSubtypeCancerNasalCavitySinus","Both","All","None",NA,"CPRDAurum","2000-2019"
793,793,793,324,9.76742239274189,0.394538351377344,9.11156741957563,6.50513347022587,11.4168377823409,"Kaplan-Meier","HeadNeckSubtypeCancerNasopharynx","Both","All","None",NA,"CPRDAurum","2000-2019"
2584,2584,2584,1171,9.62121535133041,0.198125675838925,8.00547570157426,7.29363449691992,8.65982203969884,"Kaplan-Meier","HeadNeckSubtypeCancerOralCavityIncidence","Both","All","None",NA,"CPRDAurum","2000-2019"
4340,4340,4340,1714,9.9644086846067,0.175170019676949,8.87885010266941,7.90417522245038,9.89459274469541,"Kaplan-Meier","HeadNeckSubtypeCancerOropharynx","Both","All","None",NA,"CPRDAurum","2000-2019"
1573,1573,1573,614,10.4956409632241,0.278709709103088,9.21834360027379,8.06023271731691,11.3045859000684,"Kaplan-Meier","HeadNeckSubtypeCancerSalivaryGland","Both","All","None",NA,"CPRDAurum","2000-2019"
4418,4418,4418,1904,9.57410053619363,0.166620154578289,7.51540041067762,6.7460643394935,8.30937713894593,"Kaplan-Meier","HeadNeckSubtypeCancerTongueIncidence","Both","All","None",NA,"CPRDAurum","2000-2019"
836,836,836,527,6.22576463900771,0.306373376507223,2.5927446954141,2.08624229979466,3.22245037645448,"Kaplan-Meier","HeadNeckSubtypeCancerHypopharynx","Male","All","Gender",NA,"CPRDAurum","2000-2019"
245,245,245,162,5.14656018592452,0.512995948895053,2.17385352498289,1.6290212183436,3.23613963039014,"Kaplan-Meier","HeadNeckSubtypeCancerHypopharynx","Female","All","Gender",NA,"CPRDAurum","2000-2019"
