"Cancer","0","2","4","6","8","10","12","14","16","18","Method","Age","Gender","Stratification","GenderAge","Database","CalenderYearGp"
"HeadNeckSubtypeCancerHypopharynx","1081","482","312","226","152","92","52","27","14","7","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerLarynx","5453","3332","2376","1709","1237","838","526","312","156","63","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasalCavitySinus","488","238","165","110","89","61","42","19","7","<5","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasopharynx","793","440","288","208","144","95","60","32","20","6","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerOralCavityIncidence","2584","1581","1117","819","587","380","252","151","81","40","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerOropharynx","4340","2437","1590","1078","733","485","303","167","82","29","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerSalivaryGland","1573","892","586","413","306","207","136","79","44","20","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerTongueIncidence","4418","2458","1660","1145","771","505","292","173","90","43","Kaplan-Meier","All","Both","None",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerHypopharynx","836","377","240","176","120","73","45","24","14","7","Kaplan-Meier","All","Male","Gender",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerHypopharynx","245","105","72","50","32","19","7","<5","0","0","Kaplan-Meier","All","Female","Gender",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerLarynx","4382","2720","1937","1403","1014","684","420","248","122","50","Kaplan-Meier","All","Male","Gender",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerLarynx","1071","612","439","306","223","154","106","64","34","13","Kaplan-Meier","All","Female","Gender",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasalCavitySinus","294","144","102","75","60","42","27","12","<5","<5","Kaplan-Meier","All","Male","Gender",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasalCavitySinus","194","94","63","35","29","19","15","7","<5","0","Kaplan-Meier","All","Female","Gender",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasopharynx","538","293","189","138","93","60","37","19","11","<5","Kaplan-Meier","All","Male","Gender",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasopharynx","255","147","99","70","51","35","23","13","9","<5","Kaplan-Meier","All","Female","Gender",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerOralCavityIncidence","1539","935","642","464","332","210","139","80","40","18","Kaplan-Meier","All","Male","Gender",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerOralCavityIncidence","1045","646","475","355","255","170","113","71","41","22","Kaplan-Meier","All","Female","Gender",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerOropharynx","3167","1762","1129","759","516","332","198","105","51","15","Kaplan-Meier","All","Male","Gender",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerOropharynx","1173","675","461","319","217","153","105","62","31","14","Kaplan-Meier","All","Female","Gender",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerSalivaryGland","867","436","280","193","142","96","63","36","20","10","Kaplan-Meier","All","Male","Gender",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerSalivaryGland","706","456","306","220","164","111","73","43","24","10","Kaplan-Meier","All","Female","Gender",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerTongueIncidence","2943","1599","1063","732","483","314","177","103","51","28","Kaplan-Meier","All","Male","Gender",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerTongueIncidence","1475","859","597","413","288","191","115","70","39","15","Kaplan-Meier","All","Female","Gender",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerHypopharynx","<5","<5","<5","0","0","0","0","0","0","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerHypopharynx","10","<5","<5","<5","<5","<5","<5","<5","<5","<5","Kaplan-Meier","30-39","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerHypopharynx","55","28","23","18","12","8","<5","<5","<5","0","Kaplan-Meier","40-49","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerHypopharynx","249","125","87","69","50","30","18","10","<5","<5","Kaplan-Meier","50-59","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerHypopharynx","373","171","110","82","53","37","21","11","6","<5","Kaplan-Meier","60-69","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerHypopharynx","277","120","72","48","31","15","6","<5","<5","0","Kaplan-Meier","70-79","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerHypopharynx","102","31","15","6","<5","0","0","0","0","0","Kaplan-Meier","80-89","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerHypopharynx","13","<5","<5","0","0","0","0","0","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerLarynx","11","<5","<5","<5","<5","<5","<5","0","0","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerLarynx","59","46","36","28","22","15","12","9","<5","<5","Kaplan-Meier","30-39","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerLarynx","286","183","134","107","82","60","40","30","16","10","Kaplan-Meier","40-49","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerLarynx","1011","688","530","404","304","223","154","101","55","26","Kaplan-Meier","50-59","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerLarynx","1762","1126","840","632","466","329","208","118","56","19","Kaplan-Meier","60-69","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerLarynx","1543","923","619","418","294","175","98","49","26","7","Kaplan-Meier","70-79","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerLarynx","693","334","202","110","66","34","13","<5","0","0","Kaplan-Meier","80-89","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerLarynx","88","27","12","7","<5","<5","0","0","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasalCavitySinus","<5","0","0","0","0","0","0","0","0","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasalCavitySinus","14","12","<5","<5","<5","<5","<5","<5","<5","<5","Kaplan-Meier","30-39","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasalCavitySinus","51","30","24","18","15","11","6","<5","<5","<5","Kaplan-Meier","40-49","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasalCavitySinus","80","51","43","35","28","23","16","<5","<5","<5","Kaplan-Meier","50-59","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasalCavitySinus","129","61","43","29","25","15","10","6","<5","0","Kaplan-Meier","60-69","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasalCavitySinus","121","52","34","23","17","10","8","<5","0","0","Kaplan-Meier","70-79","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasalCavitySinus","75","26","13","<5","<5","0","0","0","0","0","Kaplan-Meier","80-89","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasalCavitySinus","17","6","<5","0","0","0","0","0","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasopharynx","19","11","10","9","7","7","<5","<5","<5","<5","Kaplan-Meier","<30","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasopharynx","66","46","34","21","12","9","9","6","<5","<5","Kaplan-Meier","30-39","Both","Age",NA,"CPRDAurum","2000-2019"
