"Cancer","0","1","2","3","4","Method","Age","Gender","Stratification","GenderAge","Database","CalenderYearGp"
"IncidentBreastCancer","14949","9715","5944","3274","1304","Kaplan-Meier","All","Both","None",NA,"CPRDGold","2000-2004"
"IncidentColorectalCancer","8501","4305","2388","1206","479","Kaplan-Meier","All","Both","None",NA,"CPRDGold","2000-2004"
"IncidentEsophagealCancer","2494","643","214","81","27","Kaplan-Meier","All","Both","None",NA,"CPRDGold","2000-2004"
"IncidentHeadNeckCancer","1694","898","486","265","94","Kaplan-Meier","All","Both","None",NA,"CPRDGold","2000-2004"
"IncidentLiverCancer","332","63","23","11","<5","Kaplan-Meier","All","Both","None",NA,"CPRDGold","2000-2004"
"IncidentLungCancer","6873","1336","476","177","74","Kaplan-Meier","All","Both","None",NA,"CPRDGold","2000-2004"
"IncidentPancreaticCancer","1314","174","56","22","8","Kaplan-Meier","All","Both","None",NA,"CPRDGold","2000-2004"
"IncidentProstateCancer","10228","6136","3512","1809","670","Kaplan-Meier","All","Both","None",NA,"CPRDGold","2000-2004"
"IncidentStomachCancer","1311","324","129","52","20","Kaplan-Meier","All","Both","None",NA,"CPRDGold","2000-2004"
"IncidentBreastCancer","87","54","28","13","<5","Kaplan-Meier","All","Male","Gender",NA,"CPRDGold","2000-2004"
"IncidentBreastCancer","14862","9661","5916","3261","1302","Kaplan-Meier","All","Female","Gender",NA,"CPRDGold","2000-2004"
"IncidentColorectalCancer","4644","2370","1294","656","260","Kaplan-Meier","All","Male","Gender",NA,"CPRDGold","2000-2004"
"IncidentColorectalCancer","3857","1935","1094","550","219","Kaplan-Meier","All","Female","Gender",NA,"CPRDGold","2000-2004"
"IncidentEsophagealCancer","1642","448","147","57","21","Kaplan-Meier","All","Male","Gender",NA,"CPRDGold","2000-2004"
"IncidentEsophagealCancer","852","195","67","24","6","Kaplan-Meier","All","Female","Gender",NA,"CPRDGold","2000-2004"
"IncidentHeadNeckCancer","1117","588","304","169","58","Kaplan-Meier","All","Male","Gender",NA,"CPRDGold","2000-2004"
"IncidentHeadNeckCancer","577","310","182","96","36","Kaplan-Meier","All","Female","Gender",NA,"CPRDGold","2000-2004"
"IncidentLiverCancer","225","41","13","8","<5","Kaplan-Meier","All","Male","Gender",NA,"CPRDGold","2000-2004"
"IncidentLiverCancer","107","22","10","<5","0","Kaplan-Meier","All","Female","Gender",NA,"CPRDGold","2000-2004"
"IncidentLungCancer","4088","746","255","88","43","Kaplan-Meier","All","Male","Gender",NA,"CPRDGold","2000-2004"
"IncidentLungCancer","2785","590","221","89","31","Kaplan-Meier","All","Female","Gender",NA,"CPRDGold","2000-2004"
"IncidentPancreaticCancer","669","84","22","11","<5","Kaplan-Meier","All","Male","Gender",NA,"CPRDGold","2000-2004"
"IncidentPancreaticCancer","645","90","34","11","<5","Kaplan-Meier","All","Female","Gender",NA,"CPRDGold","2000-2004"
"IncidentStomachCancer","818","219","82","33","13","Kaplan-Meier","All","Male","Gender",NA,"CPRDGold","2000-2004"
"IncidentStomachCancer","493","105","47","19","7","Kaplan-Meier","All","Female","Gender",NA,"CPRDGold","2000-2004"
"IncidentBreastCancer","45","29","18","11","<5","Kaplan-Meier","<30","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentBreastCancer","641","438","280","149","68","Kaplan-Meier","30-39","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentBreastCancer","1967","1308","820","443","187","Kaplan-Meier","40-49","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentBreastCancer","4036","2808","1784","1028","424","Kaplan-Meier","50-59","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentBreastCancer","3318","2193","1357","782","308","Kaplan-Meier","60-69","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentBreastCancer","2665","1710","1035","550","214","Kaplan-Meier","70-79","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentBreastCancer","1801","1013","558","271","87","Kaplan-Meier","80-89","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentBreastCancer","476","216","92","40","12","Kaplan-Meier",">=90","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentColorectalCancer","14","11","9","<5","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentColorectalCancer","76","46","26","8","<5","Kaplan-Meier","30-39","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentColorectalCancer","303","175","96","52","20","Kaplan-Meier","40-49","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentColorectalCancer","1092","650","352","180","83","Kaplan-Meier","50-59","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentColorectalCancer","2016","1075","621","323","131","Kaplan-Meier","60-69","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentColorectalCancer","2910","1516","857","448","162","Kaplan-Meier","70-79","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentColorectalCancer","1795","751","400","181","78","Kaplan-Meier","80-89","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentColorectalCancer","295","81","27","11","<5","Kaplan-Meier",">=90","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentEsophagealCancer","<5","<5","<5","0","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentEsophagealCancer","11","<5","0","0","0","Kaplan-Meier","30-39","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentEsophagealCancer","86","37","14","8","<5","Kaplan-Meier","40-49","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentEsophagealCancer","341","113","36","15","<5","Kaplan-Meier","50-59","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentEsophagealCancer","603","182","69","22","8","Kaplan-Meier","60-69","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentEsophagealCancer","798","202","76","29","9","Kaplan-Meier","70-79","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentEsophagealCancer","556","96","16","7","<5","Kaplan-Meier","80-89","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentEsophagealCancer","98","9","<5","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentHeadNeckCancer","14","10","<5","<5","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentHeadNeckCancer","51","33","17","14","<5","Kaplan-Meier","30-39","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentHeadNeckCancer","165","89","51","30","8","Kaplan-Meier","40-49","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentHeadNeckCancer","418","244","121","69","24","Kaplan-Meier","50-59","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentHeadNeckCancer","446","244","129","63","24","Kaplan-Meier","60-69","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentHeadNeckCancer","365","183","108","57","24","Kaplan-Meier","70-79","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentHeadNeckCancer","205","82","49","26","9","Kaplan-Meier","80-89","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentHeadNeckCancer","30","13","6","<5","<5","Kaplan-Meier",">=90","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentLiverCancer","<5","0","0","0","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentLiverCancer","7","<5","0","0","0","Kaplan-Meier","30-39","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentLiverCancer","21","7","<5","<5","<5","Kaplan-Meier","40-49","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentLiverCancer","45","10","6","<5","<5","Kaplan-Meier","50-59","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentLiverCancer","88","21","8","<5","0","Kaplan-Meier","60-69","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentLiverCancer","96","19","<5","<5","0","Kaplan-Meier","70-79","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentLiverCancer","66","<5","<5","0","0","Kaplan-Meier","80-89","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentLiverCancer","7","0","0","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentLungCancer","<5","<5","0","0","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentLungCancer","24","<5","<5","<5","<5","Kaplan-Meier","30-39","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentLungCancer","182","53","19","<5","<5","Kaplan-Meier","40-49","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentLungCancer","810","191","78","29","12","Kaplan-Meier","50-59","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentLungCancer","1761","381","137","52","26","Kaplan-Meier","60-69","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentLungCancer","2672","514","186","78","29","Kaplan-Meier","70-79","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentLungCancer","1280","178","50","13","<5","Kaplan-Meier","80-89","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentLungCancer","142","13","<5","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentPancreaticCancer","0","0","0","0","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentPancreaticCancer","6","<5","0","0","0","Kaplan-Meier","30-39","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentPancreaticCancer","44","14","<5","<5","0","Kaplan-Meier","40-49","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentPancreaticCancer","174","34","11","<5","<5","Kaplan-Meier","50-59","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentPancreaticCancer","300","40","14","7","<5","Kaplan-Meier","60-69","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentPancreaticCancer","437","53","16","8","<5","Kaplan-Meier","70-79","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentPancreaticCancer","305","31","10","<5","<5","Kaplan-Meier","80-89","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentPancreaticCancer","48","<5","0","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentProstateCancer","<5","0","0","0","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentProstateCancer","<5","<5","<5","<5","<5","Kaplan-Meier","30-39","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentProstateCancer","47","27","19","10","<5","Kaplan-Meier","40-49","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentProstateCancer","776","452","273","126","49","Kaplan-Meier","50-59","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentProstateCancer","2735","1704","1011","548","219","Kaplan-Meier","60-69","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentProstateCancer","4110","2598","1500","801","302","Kaplan-Meier","70-79","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentProstateCancer","2279","1240","665","312","90","Kaplan-Meier","80-89","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentProstateCancer","277","113","42","11","<5","Kaplan-Meier",">=90","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentStomachCancer","<5","0","0","0","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentStomachCancer","13","<5","<5","<5","<5","Kaplan-Meier","30-39","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentStomachCancer","28","9","6","<5","<5","Kaplan-Meier","40-49","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentStomachCancer","118","38","19","11","<5","Kaplan-Meier","50-59","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentStomachCancer","271","89","38","15","<5","Kaplan-Meier","60-69","Both","Age",NA,"CPRDGold","2000-2004"
