"result_id","current_n","reason","excluded","step","analysis_id","outcome_cohort_id","outcome_cohort_name","analysis_outcome_lookback_days","analysis_type","analysis_interval","analysis_complete_database_intervals","analysis_time_point","analysis_full_contribution","analysis_min_cell_count","denominator_cohort_id","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","database_name"
2,15662217,"Starting population",NA,"Generating denominator cohort set","1",1,"HeadNeckSubtypeCancerHypopharynx",0,"period","years",TRUE,"start",FALSE,5,5,"18;29","Female",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
2,15662217,"Missing year of birth",0,"Generating denominator cohort set","1",1,"HeadNeckSubtypeCancerHypopharynx",0,"period","years",TRUE,"start",FALSE,5,5,"18;29","Female",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
2,15662217,"Missing sex",0,"Generating denominator cohort set","1",1,"HeadNeckSubtypeCancerHypopharynx",0,"period","years",TRUE,"start",FALSE,5,5,"18;29","Female",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
2,13784188,"Cannot satisfy age criteria during the study period based on year of birth",1878029,"Generating denominator cohort set","1",1,"HeadNeckSubtypeCancerHypopharynx",0,"period","years",TRUE,"start",FALSE,5,5,"18;29","Female",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
2,12561204,"No observation time available during study period",1222984,"Generating denominator cohort set","1",1,"HeadNeckSubtypeCancerHypopharynx",0,"period","years",TRUE,"start",FALSE,5,5,"18;29","Female",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
2,12561204,"Doesn't satisfy age criteria during the study period",0,"Generating denominator cohort set","1",1,"HeadNeckSubtypeCancerHypopharynx",0,"period","years",TRUE,"start",FALSE,5,5,"18;29","Female",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
2,11059955,"Prior history requirement not fulfilled during study period",1501249,"Generating denominator cohort set","1",1,"HeadNeckSubtypeCancerHypopharynx",0,"period","years",TRUE,"start",FALSE,5,5,"18;29","Female",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
2,5663407,"Not Female",5396548,"Generating denominator cohort set","1",1,"HeadNeckSubtypeCancerHypopharynx",0,"period","years",TRUE,"start",FALSE,5,5,"18;29","Female",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
2,1830306,"No observation time available after applying age and prior history criteria",3833101,"Generating denominator cohort set","1",1,"HeadNeckSubtypeCancerHypopharynx",0,"period","years",TRUE,"start",FALSE,5,5,"18;29","Female",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
2,1830306,"Starting analysis population",NA,"Estimating prevalence","1",1,"HeadNeckSubtypeCancerHypopharynx",0,"period","years",TRUE,"start",FALSE,5,5,"18;29","Female",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
2,1830306,"Not observed during the complete database interval",0,"Estimating prevalence","1",1,"HeadNeckSubtypeCancerHypopharynx",0,"period","years",TRUE,"start",FALSE,5,5,"18;29","Female",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
2,1830306,"Do not satisfy full contribution requirement for an interval",0,"Estimating prevalence","1",1,"HeadNeckSubtypeCancerHypopharynx",0,"period","years",TRUE,"start",FALSE,5,5,"18;29","Female",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
2,15662217,"Starting population",NA,"Generating denominator cohort set","10",1,"HeadNeckSubtypeCancerHypopharynx",0,"period","years",TRUE,"start",FALSE,5,23,"80;89","Female",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
2,15662217,"Missing year of birth",0,"Generating denominator cohort set","10",1,"HeadNeckSubtypeCancerHypopharynx",0,"period","years",TRUE,"start",FALSE,5,23,"80;89","Female",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
2,15662217,"Missing sex",0,"Generating denominator cohort set","10",1,"HeadNeckSubtypeCancerHypopharynx",0,"period","years",TRUE,"start",FALSE,5,23,"80;89","Female",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
2,13784188,"Cannot satisfy age criteria during the study period based on year of birth",1878029,"Generating denominator cohort set","10",1,"HeadNeckSubtypeCancerHypopharynx",0,"period","years",TRUE,"start",FALSE,5,23,"80;89","Female",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
2,12561204,"No observation time available during study period",1222984,"Generating denominator cohort set","10",1,"HeadNeckSubtypeCancerHypopharynx",0,"period","years",TRUE,"start",FALSE,5,23,"80;89","Female",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
2,12561204,"Doesn't satisfy age criteria during the study period",0,"Generating denominator cohort set","10",1,"HeadNeckSubtypeCancerHypopharynx",0,"period","years",TRUE,"start",FALSE,5,23,"80;89","Female",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
2,11059955,"Prior history requirement not fulfilled during study period",1501249,"Generating denominator cohort set","10",1,"HeadNeckSubtypeCancerHypopharynx",0,"period","years",TRUE,"start",FALSE,5,23,"80;89","Female",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
2,5663407,"Not Female",5396548,"Generating denominator cohort set","10",1,"HeadNeckSubtypeCancerHypopharynx",0,"period","years",TRUE,"start",FALSE,5,23,"80;89","Female",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
2,557098,"No observation time available after applying age and prior history criteria",5106309,"Generating denominator cohort set","10",1,"HeadNeckSubtypeCancerHypopharynx",0,"period","years",TRUE,"start",FALSE,5,23,"80;89","Female",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
2,557098,"Starting analysis population",NA,"Estimating prevalence","10",1,"HeadNeckSubtypeCancerHypopharynx",0,"period","years",TRUE,"start",FALSE,5,23,"80;89","Female",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
2,557098,"Not observed during the complete database interval",0,"Estimating prevalence","10",1,"HeadNeckSubtypeCancerHypopharynx",0,"period","years",TRUE,"start",FALSE,5,23,"80;89","Female",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
2,557098,"Do not satisfy full contribution requirement for an interval",0,"Estimating prevalence","10",1,"HeadNeckSubtypeCancerHypopharynx",0,"period","years",TRUE,"start",FALSE,5,23,"80;89","Female",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
2,15662217,"Starting population",NA,"Generating denominator cohort set","100",4,"HeadNeckSubtypeCancerNasopharynx",0,"period","years",TRUE,"start",FALSE,5,3,"18;150","Both",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
2,15662217,"Missing year of birth",0,"Generating denominator cohort set","100",4,"HeadNeckSubtypeCancerNasopharynx",0,"period","years",TRUE,"start",FALSE,5,3,"18;150","Both",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
2,15662217,"Missing sex",0,"Generating denominator cohort set","100",4,"HeadNeckSubtypeCancerNasopharynx",0,"period","years",TRUE,"start",FALSE,5,3,"18;150","Both",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
2,13784188,"Cannot satisfy age criteria during the study period based on year of birth",1878029,"Generating denominator cohort set","100",4,"HeadNeckSubtypeCancerNasopharynx",0,"period","years",TRUE,"start",FALSE,5,3,"18;150","Both",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
2,12561204,"No observation time available during study period",1222984,"Generating denominator cohort set","100",4,"HeadNeckSubtypeCancerNasopharynx",0,"period","years",TRUE,"start",FALSE,5,3,"18;150","Both",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
