"result_id","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","database_name"
1,"1",1830306,2563682232,NA,2000-01-01,2019-12-31,7018979.41683778,NA,NA,NA,"FALSE","TRUE",1,"HeadNeckSubtypeCancerHypopharynx",FALSE,"overall",TRUE,5,NA,5,"18;29","Female",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
1,"10",557081,879776985,24,2000-01-01,2019-12-31,2408698.11088296,0.996388874619174,0.638405152775647,1.48254766474919,"FALSE","FALSE",1,"HeadNeckSubtypeCancerHypopharynx",FALSE,"overall",TRUE,23,NA,5,"80;89","Female",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
1,"100",10384949,28339896624,324,2000-01-01,2019-12-31,77590408.2792608,0.417577387702189,0.373341428083137,0.465613175087333,"FALSE","FALSE",4,"HeadNeckSubtypeCancerNasopharynx",FALSE,"overall",TRUE,3,NA,5,"18;150","Both",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
1,"101",1029283,1938659254,19,2000-01-01,2019-12-31,5307759.76454483,0.357966465003138,0.215519195890881,0.559008977191906,"FALSE","FALSE",4,"HeadNeckSubtypeCancerNasopharynx",FALSE,"overall",TRUE,17,NA,5,"60;69","Female",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
1,"102",365529,553625986,16,2000-01-01,2019-12-31,1515745.34154689,1.05558628889938,0.60335877030031,1.71420600053068,"FALSE","FALSE",4,"HeadNeckSubtypeCancerNasopharynx",FALSE,"overall",TRUE,22,NA,5,"80;89","Male",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
1,"103",804636,1453936434,18,2000-01-01,2019-12-31,3980661.01026694,0.452186206099296,0.267994203798935,0.714649154855321,"FALSE","FALSE",4,"HeadNeckSubtypeCancerNasopharynx",FALSE,"overall",TRUE,20,NA,5,"70;79","Female",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
1,"104",1319421,2395336815,71,2000-01-01,2019-12-31,6558074.78439425,1.08263480265509,0.845546762998997,1.36559649060746,"FALSE","FALSE",4,"HeadNeckSubtypeCancerNasopharynx",FALSE,"overall",TRUE,13,NA,5,"50;59","Male",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
1,"105",1516189,2671945198,24,2000-01-01,2019-12-31,7315387.26351814,0.328075591017417,0.21020422160523,0.48815047389001,"FALSE","FALSE",4,"HeadNeckSubtypeCancerNasopharynx",FALSE,"overall",TRUE,10,NA,5,"40;49","Male",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
1,"106",3306765,4883221968,16,2000-01-01,2019-12-31,13369533.1088296,0.119675084161564,0.0684046509268277,0.194344839016114,"FALSE","FALSE",4,"HeadNeckSubtypeCancerNasopharynx",FALSE,"overall",TRUE,9,NA,5,"30;39","Both",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
1,"107",1672801,2466019751,9,2000-01-01,2019-12-31,6751594.11635866,0.133301852049927,0.0609540950841085,0.253048437998129,"FALSE","FALSE",4,"HeadNeckSubtypeCancerNasopharynx",FALSE,"overall",TRUE,7,NA,5,"30;39","Male",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
1,"108",5053958,13938290608,222,2000-01-01,2019-12-31,38160959.9123888,0.581746372496067,0.507732434850399,0.663515400126679,"FALSE","FALSE",4,"HeadNeckSubtypeCancerNasopharynx",FALSE,"overall",TRUE,1,NA,5,"18;150","Male",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
1,"109",1830297,2563655323,12,2000-01-01,2019-12-31,7018905.74401095,0.170966820721867,0.088341051082115,0.298644629414819,"FALSE","FALSE",5,"HeadNeckSubtypeCancerOralCavityIncidence",FALSE,"overall",TRUE,5,NA,5,"18;29","Female",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
1,"11",922566,1433323697,82,2000-01-01,2019-12-31,3924226.41204654,2.08958381576245,1.66190802008013,2.59372448092225,"FALSE","FALSE",1,"HeadNeckSubtypeCancerHypopharynx",FALSE,"overall",TRUE,24,NA,5,"80;89","Both",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
1,"110",2051384,3829031442,490,2000-01-01,2019-12-31,10483316.7474333,4.67409324553674,4.26934659753563,5.10686808813294,"FALSE","FALSE",5,"HeadNeckSubtypeCancerOralCavityIncidence",FALSE,"overall",TRUE,18,NA,5,"60;69","Both",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
1,"111",5330881,14400274063,731,2000-01-01,2019-12-31,39425801.6783025,1.85411575385237,1.72212566443018,1.99353843150623,"FALSE","FALSE",5,"HeadNeckSubtypeCancerOralCavityIncidence",FALSE,"overall",TRUE,2,NA,5,"18;150","Female",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
1,"112",1022190,1890695841,310,2000-01-01,2019-12-31,5176443.09650924,5.98866816886387,5.34050044370791,6.69381511277667,"FALSE","FALSE",5,"HeadNeckSubtypeCancerOralCavityIncidence",FALSE,"overall",TRUE,16,NA,5,"60;69","Male",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
1,"113",2591689,4737144829,356,2000-01-01,2019-12-31,12969595.6988364,2.74488124585055,2.46712041927975,3.04535549225238,"FALSE","FALSE",5,"HeadNeckSubtypeCancerOralCavityIncidence",FALSE,"overall",TRUE,15,NA,5,"50;59","Both",365,2000-01-01,2019-12-31,NA,NA,"CPRDGold"
