"records","n.max","n.start","events","rmean","se(rmean)","median","0.95LCL","0.95UCL","Method","Cancer","Gender","Age","Stratification","GenderAge","Database","CalenderYearGp"
726,726,726,425,6.29983585904306,0.327024232112028,3.34565366187543,2.6611909650924,4.09582477754962,"Kaplan-Meier","HeadNeckSubtypeCancerHypopharynx","Both","All","None",NA,"CPRDGold","2000-2019"
2453,2453,2453,1167,8.50885391475578,0.213923313892106,6.51882272416153,5.88090349075975,7.19507186858316,"Kaplan-Meier","HeadNeckSubtypeCancerLarynx","Both","All","None",NA,"CPRDGold","2000-2019"
221,221,221,117,7.83858717984207,0.691250792916484,5.01848049281314,2.78713210130048,6.70225872689938,"Kaplan-Meier","HeadNeckSubtypeCancerNasalCavitySinus","Both","All","None",NA,"CPRDGold","2000-2019"
324,324,324,149,8.28920889521086,0.52469825900235,5.50034223134839,4.19712525667351,9.05954825462012,"Kaplan-Meier","HeadNeckSubtypeCancerNasopharynx","Both","All","None",NA,"CPRDGold","2000-2019"
1744,1744,1744,700,9.73930736658665,0.263104709157443,8.82956878850103,7.88227241615332,9.88637919233402,"Kaplan-Meier","HeadNeckSubtypeCancerOralCavityIncidence","Both","All","None",NA,"CPRDGold","2000-2019"
2002,2002,2002,785,9.30241910002085,0.289969541382651,7.98904859685147,7.12388774811773,9.12799452429843,"Kaplan-Meier","HeadNeckSubtypeCancerOropharynx","Both","All","None",NA,"CPRDGold","2000-2019"
650,650,650,255,9.6815865414247,0.421316717541569,8.435318275154,6.29705681040383,10.8364134154689,"Kaplan-Meier","HeadNeckSubtypeCancerSalivaryGland","Both","All","None",NA,"CPRDGold","2000-2019"
2154,2154,2154,954,8.57568830035706,0.250209890838364,6.64202600958248,5.64271047227926,8.11772758384668,"Kaplan-Meier","HeadNeckSubtypeCancerTongueIncidence","Both","All","None",NA,"CPRDGold","2000-2019"
558,558,558,323,6.51374290825722,0.37879703508915,3.41957563312799,2.7296372347707,4.54757015742642,"Kaplan-Meier","HeadNeckSubtypeCancerHypopharynx","Male","All","Gender",NA,"CPRDGold","2000-2019"
168,168,168,102,5.42071877005327,0.62884777086903,2.92402464065708,1.73032169746749,4.61327857631759,"Kaplan-Meier","HeadNeckSubtypeCancerHypopharynx","Female","All","Gender",NA,"CPRDGold","2000-2019"
